Name,Title,Company
CJ Edmonds,CRO,Conversion Logix
Claire Darling,CMO,Clari
Clara Shen,Executive,Dandelion Chocolate
Clint Sharp,Co-founder and CEO,Cribl
Cody Kroll,"Director of International Sales, APAC",TEKsystems
Cody Mang,Vice President of Sales,ADP
Cole Evetts,Founder,QuotaPath
Colin Murphy,CCO,Zendesk
Colleen O'Sullivan,Vice President of Customer Success,Responsive
Colum Lundt,Co-Founder & CEO,CoachEm
Connor Candito,Vice President Sales,Athena
Corey Beale,CRO,CorralData
Craig Canton,Director - AI Workforce Solutions - Financial Services & Capital Markets,Microsoft
Craig Tate,CEO,RedTeam - Construction Technology
Dan Freund,Chief Sales Officer,InvoiceCloud
Dan Poritzky,Managing Partner,Blue Rise Ventures
Dan Sommer,CEO + Founder,10XImpact
Dan Stoks,,
Dan Tyre,CEO & Founder,Tyre Angel
Daniel Farrar,CEO,Assembly Software
Daniel O'Leary,"Senior Director, Enterprise Channel & Alliances",Axon
Daniel Schonfeld,"Senior Vice President, Revenue Operations",Edmentum
Daniella Bellaire,CRO,Digitail
Danny McGreevy,Enterprise Account Executive,Harvey
Dave Barron,Product Strategy and GTM,Hubspot
Dave Elkins,Head of Product / Sales,Highway.ai
Dave Janssen,,
Dave King,Frmr Chief Business Officer,HeyGen
Dave Mattson,Executive Chairman,Sandler Training
Dave Shepard,,
Dave Shepherd,fmr Country Manager (AUS/NZ),HubSpot
Dave Vellante,"Co-founder, co-CEO",SiliconANGLE & theCUBE
Dave Woolwine,CRO,Arkose Labs
David Basto,,
David Diaz,,
David Hwang,Chief Customer Officer,Superhuman
David Meerman Scott,"Entrepreneur, Advisor, Keynote Speaker and WSJ Bestselling Author",Freshspot Marketing
David Morse,CEO,DMo Worldwide
David NOEL,,
David Poulter,Head of Global Revenue Operations,Airbnb
David Rich,CMO,DTN
David Scott,,
David Spitz,Founder & CEO,BenchSights
David Torres,Sales Director for the Americas,Brevo
David Wacker,VP of Sales,you.com
David Weiner,Chief Growth Officer,Savvy Wealth
Dean Bergin,Co-Founder and Fund Manager,LUXEM Ventures
Declan Fitzgerald,Head of Executive Talent Acqusition,Neko Health
Derek Swaim,CEO,JETNET
Dick Faulkner,Principal,Red Falcon Consulting
Dini Mehta,fmr CRO,Lattice
Dione Hedgpeth,Frmr Cheif Customer Officer,Sumo Logic
DJ Paoni,CEO,Certinia
Don Matekjo,"GM, Americas Field Operations",UserTesting
Doug Mooney,Managing Partner,Tamarack Growth Advisory
Doug Redding,CFO,Orbital Gravity
Doug Robinson,,
Doug Winter,CEO,Seismic
Douglas Allen,President,Allen Technology Advisors
Douglas Andrews,"Director, Sales Operations",BeyondTrust
Douglas Grigg,CRO,Showpad
Dustin Jones,Founder / CEO,uBuyFirst
Eamon McCormick,"Vice President, Technical Sales - US Public Sector",Red Hat
Ed Allen,Independent Director,Coherix
Ed Calnan,,
Ed LaPerche,President,Vendre Advsiors
Edward McDonnell,CRO,Braze
Elissa Fink,fmr CMO,Tableau
Ellie Mirman,,
Emily Bartels,VP of Payments,Skimmer
Emily Ferdinando,CMO,Bugcrowd
Emmanuelle Skala,Executive Vice President Onsite Advisory,Insight Partners
Eran Aloni,"Executive Vice President, Product Strategy and Ecosystem",Gong.io
Erez Kalir,Founder & CEO,Martial Eagle Fund
Eric Fearday,Global Senior Vice President,Workday
Eric Hall,CEO,LegalSifter
Eric Larson,Senior Vice President of Global Sales,Avetta
Erica Anderson,Chief Revenue Officer,Notion
Erica Brescia,Managing Director,Redpoint Ventures
Erica Ruliffson Shultz,President of Field Operations,Confluent
Erik Bulis,"Integrated Operations, GTM Strategy & Analytics",Pure Storage
Erik Hardy,,
Eti Enyong,"Director of Sales, Mid-Market",NinjaOne
Evan Kelsay,Strategic Accounts,Synthesia
Evan Randall,"Senior Vice President, Worldwide Revenue Strategy & Operations",Teradata
Fabio Jaime,,
Faisal Hamid,"Principal Manager, Mid-Market Sales",Hubspot
Felicia Richardson,Group Vice President - Strategic Client Relationships,Workday
Frank Auger,Vice President Customer Success,OnRamp
Fred Stockton,,
Frederick Stanichev,"Vice President Sales, LiveInsights",LiveRamp
Gar Smyth,Vice President Digital & Revenue Marketing,Quickbase
Garret LaCava,Senior Vice President of Global Sales,Nitro Software
Gary Schwake,CRO,Spark Hire
Gautam Kumar,Derivatives,Vitol
Gayle Grasso,"Vice President, Enterprise-AI",ThoughtSpot
Glenn Johnson,Area Vice President of Sales,Writer
Glenn Oclassen,Fmr CCO,GoFormz
Glenn Seninger,Regional Vice President - Public Sector,Oracle
Grant Frajione,fmr GVP of Human Capital,Oracle
Grant Franjione,,
Grant Wilson,Founder & Executive Chairman,Force Management
Greg Burnett,Strategic Sales Leader,Pinwheel
Greg Holmes,fmr Head of Sales / Board Member,Zoom / Chorus.ai
Greg Kokino,Principal,Zeroto20
Gregg Scoresby,Founder and Managing Partner,PHX Ventures
Greta Krupetsky,"Global Chief Operating Officer, Google Cloud Go-to-Market",Google
Guan Wang,VP of Data,Airtable
Guy Yehiav,President,SmartSense by Digi
Guzel Lumpkin,CEO & CFO,GYS CFO
Haley Katsman,"Vice President, Global Strategic Accounts",Highspot
Hamish Stephenson,Founder & CEO,Selr.io
Hanh Nguyen,,
Hayden Stafford,President & CRO,Seismic
Hemanth Vedagarbha,CEO,Firebolt
Henry McNamara,,
Henry Schuck,CEO & Founder,ZoomInfo
Hilary Headlee,"Advisory Leader, Early & Growth Team",Insight Partners
Hinesh Patel,,
Holly Files,fmr CCO / SVP of Customer Success,Auth0
Houston Johnson,President and Founding Partner,Practice Insight
Hugh Willoughby,Sales Coach,Harvard Business School
Ian Matthews,"Vice President, WW Revenue Strategy, Planning & Performance",Teradata
Imran Kareem,Snowflake Practice Sales Leader for the Americas,IBM
Irfan Ozaltin,Managing Director,Spaulding Ridge
Iryna Papalamava,Head of Enterprise Engagement,Guardian Life
Jack Caragol,"Senior Vice President and Managing Director, Americas",Anaplan
Jacqueline Foster,Senior Vice President of Global Marketing at Theta Lake,Theta Lake
Jake Dunlap,CEO; Founder,Skaled Consulting; Journey AI
Jake Epstein,Co-Founder,Tango
Jake Hofwegen,Vice President of Revenue Operations + Enablement,Contentful
James Isilay,CEO,Cognism
James Pappas,,
James Ramsey,fmr Founder & Board Member,Vlocity
James Raybould,Senior Vice President & General Manager,Turing
James Riepe,Founder,Bala Health
James Roth,Head of Business Development,Membrane Labs
James Sutton,CGO,Instructure
Jamie Nacht Farrell,Managing Director,DriveX Network
Janine Pelosi,CEO,Neat
Jason Blessing,fmr President & CEO,Model N
Jason Finger,Founder & CEO,Seamless (GrubHub)
Jason Little,Senior Vice President Strategy and Operations,ThoughtSpot
Jason Schaps,Managing Director,Google
Jason Vargas,Co-Founder & CPO,RevShoppe
Javier Molina,Head of Revenue,Nominal
Jay Jackson,fmr Sales Manager,Zoom
Jay Naik,President,Wonder
Jay Roxe,CMO,inriver
Jay Simons,General Partner,BOND
JD Sherman,,
Jeb Dasteel,President,Dasteel Consulting
Jed Nachman,COO,Yelp
Jeetu Mahtani,CRO,ShipBob
Jeff Jewett,,
Jeff Koll,CEO / Founder,StageOne Consulting
Jeff Lindholm,CRO,Lookout
Jeff Perry,Chief Revenue Officer,Carta
Jeff Wilks,,
