Name,Title,Company
Ronald Hobma,VP Sales EMEA & APAC (International) Strategic Accounts,Atlassian
Ross Johnston,"Sr. Sales Leader, Priority Startups",AWS
Ross Mason,,
Rouzbeh Rotabi,COO,Qolo
Russell Murphy,,
Russell Van Leuven,,
Ryan Ball,Vice President of Sales | Americas,Funnel
Ryan Longfield,,
Ryan Mang,Chief Commercial Officer,DailyPay
Ryan McGurk,CRO,GrowthBook
Ryan Meadows,CRO,Lovable
Ryan Nichols,,
Ryan Roskovensky,Founder & CEO,RJR Partners
Ryan Whitney,CRO,MentorcliQ
Sam Mylrea,CEO and Co-Founder,Qwick
Samuel Glushakow,Director of Sales,ZoomInfo
Sangeeta Chakraborty,CRO,Amagi
Sanjay Chaudhry,"Senior Director, HPC, AI/ML & Scientific Cloud Platform",NVIDIA
Sanjay Kini,Chief Customer Strategy Officer,6sense
Sarah Patterson,,
Sarah-Beth Anders,"Senior Director, Product Marketing",LinkedIn
Scot Fredo,COO & CFO,Paperless Parts
Scott Barghaan,,
Scott Berg,,
Scott Cross,CFO,Private Family Office AZ
Scott Gibson,"Vice President, Industry Sales",Braze
Scott Gifis,CEO,NoFraud
Scott Gregory Ablin,,
Scott Holden,CMO,Vanta
Scott Little,Chief Revenue Officer,WalkMe
Scott Malpass,"Co-Founder, Managing Partner",Grafton Street Partners
Scott Peyser,Senior Vice President of Operations,CBTS
Sean Andrew,,
Sean Goldstein,,
Sean Walters,CRO,Datadog
Sebastian Fleischmann,Regional Vice President Enterprise - DACH,Pendo
Seema Kumar,"GM, Marketing",Whispered
Shadee Barkan,"Chief Partnership Officer, Honor Education",Et All
Sham Sao,CEO,Growth 11
Shane Murphy-Reuter,President GTM,Calendly
Shane Trigg,President and CEO,Appfolio
Sheela Zemlin,COO,SEW.ai
Shenal Shroff,Head of Americas Customer Success,Udemy
Shilpa Narwade,"Vice President, Growth & Demand Generation",Dialpad
Shiv Gaglani,Founder,Stealth Startup
Shravan Sahdev,Portfolio Manager,Citadel
Simon Bolz,,
Simon Tecle,Vice President of Sales and Customer Success,BoomPop
Spencer Burke,Senior Vice President of Growth,Braze
Spencer Huang,"Industrial & Embedded IoT, Qualcomm",Edge Impulse
Spencer Tuttle,CRO,Redis
Stephanie Glenn,CCO,Maven
Stephen Branstetter,COO,KYG Trade
Stephen Empey,Director,Davy
Stephen Turchan,Enterprise Account Executive,PagerDuty
Steve Cornwell,Co-Founder,ExactTempo
Steve Dobbs,"Executive Vice President, Financial Services",Salesforce
Steve Fitz,,
Steve Goldberg,CRO,PowerSchool
Steve Hanson,"Vice President, Growth Initiatives",Workday
Steve Moroski,Chief Revenue Officer,RecVue
Steve Wernke,,
Steve Wietrecki,,
Steve Zirkel,SVP CRM,ServiceNow
Steven Birdsall,CRO,Alteryx
"Steven J Travaglini, Jr.","Founder, CEO",Winrate
Steven Kennedy,VP Global Customer Success,ScaleOps
Steven Rice,"Vice President, North American Production Sales",Celonis
Steven Thompson,"Group Vice President, Supply Chain Solution Enginering - NAA",Oracle
Sue Barsamian,"Board Member, Box, Five9, Gen, Gainsight",Pangea
Sung Lim,"CIO, CFO",Grao
Sung-Dae Hong,CEO,StatLab
Suresh Khanna,CRO; Co-Founder,Smith.ai; Pieces
Svetlana Lebedeva,,
Sydney Sloan,Chief Marketing Officer,G2
Tabitha Dunn,Customer Experience & Transformation Leadership Coach,
Tanya Alfonso,"Vice President, North America",Vicarius
Tappan Shah,Sr. Manager Business Development - Permian Crude System,NuStar Energy L.P
Tara Bryant,,
Tasha Bishop,CCO / Head of Customer Experience,Automattic
Taylor grabus,Vice President of Global Sales,Datadog
Teddy Guenin,Director of Investments,Brown Holdings
Tejal Parekh,CMO,Lumen Advisory
Terry Lee,,
Theresa Caragol,Founder and CEO,AchieveUnite
Thomas Abe,Portfolio Manager,Balyasny Asset Management L.P
Thomas Grandmaison,"Executive Vice President, Managing Director",WTW
Thomas Oscherwitz,General Counsel,Informed.IQ
Thomaz Figueiredo,,
Tiago Correia,,
Tiago Lafer,Co-Founder,Beacon Founder Society
Tiffany Gonzalez,,
Tijs van Santen,,
Tim Fahmy,"Vice President of Sales, Global Public Sector and A&D",interos.ai
Tim Strudwick,CFO,Apptegy
Timo Trunk,Co-Founder,42dB
Timothy Butler,Regional Vice President - Enterprise Sales,Eightfold
Timothy Zielinski,Multi-Unit Owner,Voda Cleaning & Restoration
Timothy Zuch,"Group Vice President, Manufacturing",Oracle
Tip Moore,VP of Sales & Strategic Accounts,Tango
Tito Bohrt,CEO,AltiSales
Tobin O'Donnell,,
Toby Carrington,Chief Business Officer,Seismic
Todd Dreyfus,Senior Vice President and General Manager,Infor
Todd Kisaberth,Chief Customer Officer,Certinia
Todd Theisen,Principal Account Manager - FinTech Startups,Amazon Web Services (AWS)
Tom Arata,"Executive Vice President, arata expositions",inc. (AEI)
Tom Bonos,CRO,Applause
Tom Boucher,CEO,Great NH Restaurants
Tom Byun,CRO,Gusto
Tom Chavez,Co-Founder & General Partner,super{set}
Tom Cloos,Vice President Content Practice,OpenText
Tom Germack,Senior Vice President of Revenue Operations,Oracle
Tom Hannigan,Head of Global Sales GTM,ServiceNow
Tom Jones,,
Tom Lavery,CCO,MPLC
Tom Loutzenheiser,,
Tom Marth,,
Tom Sipple,President,Draycott Ventures
Tommie O'Brien,CSO,Semrush
Tommy McNulty,CRO,Rho
Tony Davidson,Senior Director of Post Sales Strategy and Operations,ServiceTitan
Tony Granados,"Senior Director, GTM Strategy & Revenue Operations",Airtable
Tony Jackson,CEO & Founder,Dream Team
Tony Narcisi,Founder; Co-Founder,Black Cypress ; Cedar Property Management
Tony Owens,Chief Executive Officer,Amperity
Tracey Newell,"Board Member, SailPoint, Highspot, DataRobot",and Druva
Travis Bryant,Head of Industries Commercial GTM,Anthropic
Trevor Banks,"National Director, Large Enterprise - Higher Education Industry",Workday
Tricia Gellman,CMO,Box
Tulika Khemani,Product Development and Delivery,J.P. Morgan
Tyler Harnish,Head of Global Distribution & GTM - Net Zero Cloud / ESG,Salesforce
Tyler Prince,Managing Director and Head of Value Creation,Smith Point Capital
Tyler Williams,CEO,NextBeat
Tyler Zachem,Chief Executive Officer,Broad Sky Partners
Vern Bubb,fmr Managing Director of EMEA,Clari
Vernon Bubb,,
Victoria Ashton,Chief People Officer,Lob
Victoria Hughes,Chief People Officer and Advisor,
Vik Shah,"VP of Finance & Accounting, Flare",fmr Zoom
Vikas Taneja,Sr. Partner & Managing Director,BCG
Vikrant Shah,"Vice President, Finance & Accounting",Flare
Vinesh Vis,CRO,Smarsh
Wendy Morton Hudson,Owner/Founder,Nantucket Book Partners
Wes Kapsa,"CRO, Senior Vice President",App Orchid ; Wayground
Will Anastas,,
Will Quigley,"Vice President, Global Sales",Seismic Software
William Collins,CEO and President,BFC Software
William Nowak,"Vice President Americas, Solutions Engineering and Customer Experience",Dataiku
